,Manufacturer,Crash,Fire,NumberOfInjured,DateOfIncident,Make
5159,"Volkswagen Group of America, Inc.",Yes,No,0,2017-10-27,VOLKSWAGEN
5160,Volvo Car USA LLC,Yes,No,2,2013-02-22,VOLVO
5161,Volvo Car USA LLC,Yes,No,0,2014-02-07,VOLVO
5162,Volvo Car USA LLC,Yes,No,0,2014-08-06,VOLVO
5163,Volvo Car USA LLC,Yes,No,1,2015-11-18,VOLVO
5164,Volvo Car USA LLC,Yes,No,1,2016-02-03,VOLVO
5165,Volvo Trucks North America,Yes,No,0,2012-06-19,VOLVO
5166,Volvo Car USA LLC,No,Yes,0,2017-06-14,VOLVO
5167,Volvo Car USA LLC,Yes,No,1,2013-05-24,VOLVO
5168,Volvo Car USA LLC,No,Yes,0,2017-07-12,VOLVO
5169,"Yamaha Motor Corporation, USA",Yes,No,0,2014-12-14,YAMAHA
5170,Honda (American Honda Motor Co.),Yes,No,0,2013-03-03,ACURA
5171,Honda (American Honda Motor Co.),Yes,No,0,2014-02-03,ACURA
5172,Honda (American Honda Motor Co.),Yes,No,1,2018-02-13,ACURA
5173,Honda (American Honda Motor Co.),Yes,No,1,2018-03-16,ACURA
5174,Honda (American Honda Motor Co.),Yes,No,2,2013-06-13,ACURA
5175,Honda (American Honda Motor Co.),Yes,No,1,2016-07-30,ACURA
5176,Honda (American Honda Motor Co.),Yes,No,0,2013-02-04,ACURA
5177,Honda (American Honda Motor Co.),Yes,No,0,2017-01-07,ACURA
5178,"Volkswagen Group of America, Inc.",No,Yes,0,2015-02-06,AUDI
5179,"Volkswagen Group of America, Inc.",No,Yes,0,2015-11-04,AUDI
5180,"Volkswagen Group of America, Inc.",Yes,No,2,2014-07-24,AUDI
5181,"Volkswagen Group of America, Inc.",No,Yes,0,2017-11-01,AUDI
5182,"Volkswagen Group of America, Inc.",No,Yes,0,2018-03-23,AUDI
5183,"Volkswagen Group of America, Inc.",Yes,No,0,2016-09-01,AUDI
5184,"Volkswagen Group of America, Inc.",Yes,No,0,2018-01-11,AUDI
5185,"Volkswagen Group of America, Inc.",Yes,No,0,2018-01-20,AUDI
5186,"BMW of North America, LLC",Yes,No,0,2013-10-23,BMW
5187,"BMW of North America, LLC",Yes,No,1,2016-12-07,BMW
5188,"BMW of North America, LLC",Yes,No,0,2013-01-12,BMW
5189,"BMW of North America, LLC",Yes,No,1,2012-11-28,BMW
5190,"BMW of North America, LLC",Yes,No,0,2015-08-08,BMW
5191,"BMW of North America, LLC",No,Yes,0,2012-09-28,BMW
5192,"BMW of North America, LLC",No,Yes,0,2016-09-13,BMW
5193,"BMW of North America, LLC",No,Yes,0,2018-01-10,BMW
5194,"BMW of North America, LLC",No,Yes,0,2012-08-23,BMW
5195,"BMW of North America, LLC",No,Yes,0,2015-07-03,BMW
5196,"BMW of North America, LLC",Yes,No,0,2012-01-26,BMW
5197,"BMW of North America, LLC",Yes,No,0,2013-09-24,BMW
5198,"BMW of North America, LLC",Yes,No,1,2014-06-24,BMW
5199,"BMW of North America, LLC",Yes,No,0,2012-03-04,BMW
5200,"BMW of North America, LLC",No,Yes,0,2017-11-08,BMW
5201,"BMW of North America, LLC",Yes,No,1,2015-06-17,BMW
5202,"BMW of North America, LLC",Yes,No,0,2013-09-16,BMW
5203,"BMW of North America, LLC",Yes,No,1,2013-10-05,BMW
5204,"BMW of North America, LLC",No,Yes,0,2014-08-13,BMW
5205,"BMW of North America, LLC",Yes,No,0,2012-06-04,BMW
5206,"BMW of North America, LLC",Yes,No,0,2012-06-04,BMW
5207,General Motors LLC,Yes,No,3,2013-04-07,BUICK
5208,General Motors LLC,Yes,No,1,2016-01-12,BUICK
5209,General Motors LLC,Yes,No,1,2016-08-16,BUICK
5210,General Motors LLC,Yes,No,0,2012-12-06,BUICK
5211,General Motors LLC,Yes,No,1,2012-11-12,BUICK
5212,General Motors LLC,Yes,No,1,2012-08-20,BUICK
5213,General Motors LLC,Yes,No,0,2012-02-01,BUICK
5214,General Motors LLC,Yes,No,0,2014-06-29,BUICK
5215,General Motors LLC,No,Yes,0,2014-07-28,BUICK
5216,General Motors LLC,No,Yes,0,2018-04-13,BUICK
5217,General Motors LLC,Yes,No,0,2014-07-17,BUICK
5218,General Motors LLC,Yes,No,0,2014-11-04,BUICK
5219,General Motors LLC,Yes,No,2,2015-02-25,BUICK
5220,General Motors LLC,No,Yes,0,2014-11-02,BUICK
5221,General Motors LLC,Yes,No,0,2017-10-25,BUICK
5222,General Motors LLC,Yes,No,1,2018-01-17,BUICK
5223,General Motors LLC,Yes,No,1,2017-06-30,BUICK
5224,General Motors LLC,Yes,No,1,2014-05-19,CADILLAC
5225,General Motors LLC,Yes,No,0,2014-06-26,CADILLAC
5226,General Motors LLC,Yes,No,1,2014-07-21,CADILLAC
5227,General Motors LLC,Yes,No,1,2014-04-20,CADILLAC
5228,General Motors LLC,Yes,No,2,2016-04-20,CADILLAC
5229,General Motors LLC,Yes,No,2,2017-04-18,CADILLAC
5230,General Motors LLC,Yes,No,0,2013-02-22,CADILLAC
5231,General Motors LLC,Yes,No,0,2014-10-29,CADILLAC
5232,General Motors LLC,Yes,No,0,2012-05-31,CADILLAC
5233,General Motors LLC,Yes,No,2,2013-03-16,CADILLAC
5234,General Motors LLC,Yes,No,0,2013-06-16,CADILLAC
5235,General Motors LLC,Yes,No,0,2013-09-12,CADILLAC
5236,General Motors LLC,Yes,No,1,2014-03-27,CADILLAC
5237,General Motors LLC,Yes,No,0,2014-03-23,CADILLAC
5238,General Motors LLC,Yes,No,0,2014-10-07,CADILLAC
5239,General Motors LLC,Yes,No,2,2014-12-14,CADILLAC
5240,General Motors LLC,No,Yes,0,2015-05-15,CADILLAC
5241,General Motors LLC,Yes,No,0,2016-02-04,CADILLAC
5242,General Motors LLC,Yes,No,0,2017-12-06,CADILLAC
5243,General Motors LLC,Yes,No,1,2016-10-26,CADILLAC
5244,General Motors LLC,Yes,No,0,2016-12-31,CADILLAC
5245,General Motors LLC,Yes,No,1,2017-05-31,CADILLAC
5246,General Motors LLC,Yes,No,0,2016-02-04,CADILLAC
5247,General Motors LLC,Yes,No,0,2016-02-04,CADILLAC
5248,General Motors LLC,Yes,No,0,2016-02-04,CADILLAC
5249,"CARRIAGE, INC",No,Yes,0,2014-12-01,CARRIAGE
5250,General Motors LLC,Yes,No,1,2013-04-22,CHEVROLET
5251,General Motors LLC,Yes,No,1,2014-06-16,CHEVROLET
5252,General Motors LLC,No,Yes,0,2013-05-31,CHEVROLET
5253,General Motors LLC,No,Yes,0,2013-07-05,CHEVROLET
5254,General Motors LLC,No,Yes,0,2014-08-24,CHEVROLET
5255,General Motors LLC,Yes,No,1,2014-09-13,CHEVROLET
5256,General Motors LLC,Yes,No,1,2013-12-18,CHEVROLET
5257,General Motors LLC,Yes,No,1,2014-11-10,CHEVROLET
5258,General Motors LLC,Yes,No,1,2014-10-23,CHEVROLET
5259,General Motors LLC,Yes,No,0,2014-02-03,CHEVROLET
5260,General Motors LLC,Yes,No,2,2014-02-03,CHEVROLET
5261,General Motors LLC,Yes,No,0,2013-09-04,CHEVROLET
5262,General Motors LLC,No,Yes,0,2015-05-07,CHEVROLET
5263,General Motors LLC,No,Yes,0,2015-08-14,CHEVROLET
5264,General Motors LLC,No,Yes,0,2017-10-15,CHEVROLET
5265,General Motors LLC,No,Yes,0,2012-06-10,CHEVROLET
5266,General Motors LLC,Yes,No,0,2012-11-28,CHEVROLET
5267,General Motors LLC,Yes,No,2,2015-10-09,CHEVROLET
5268,General Motors LLC,Yes,No,0,2013-10-20,CHEVROLET
5269,General Motors LLC,Yes,No,0,2015-09-12,CHEVROLET
5270,General Motors LLC,No,Yes,0,2012-04-29,CHEVROLET
5271,General Motors LLC,Yes,No,0,2012-05-05,CHEVROLET
5272,General Motors LLC,No,Yes,0,2012-06-15,CHEVROLET
5273,General Motors LLC,No,Yes,0,2013-05-29,CHEVROLET
5274,General Motors LLC,Yes,No,0,2013-08-12,CHEVROLET
5275,General Motors LLC,Yes,No,0,2013-07-03,CHEVROLET
5276,General Motors LLC,Yes,No,0,2013-08-27,CHEVROLET
5277,General Motors LLC,Yes,No,0,2013-06-13,CHEVROLET
5278,General Motors LLC,Yes,No,0,2013-08-21,CHEVROLET
5279,General Motors LLC,Yes,No,0,2013-07-28,CHEVROLET
5280,General Motors LLC,Yes,No,0,2013-10-12,CHEVROLET
5281,General Motors LLC,No,Yes,0,2013-11-04,CHEVROLET
5282,General Motors LLC,Yes,No,2,2013-11-11,CHEVROLET
5283,General Motors LLC,Yes,No,1,2013-11-13,CHEVROLET
5284,General Motors LLC,No,Yes,0,2014-03-13,CHEVROLET
5285,General Motors LLC,No,Yes,0,2013-02-22,CHEVROLET
5286,General Motors LLC,Yes,No,1,2012-07-15,CHEVROLET
5287,General Motors LLC,Yes,No,0,2013-05-27,CHEVROLET
5288,General Motors LLC,Yes,No,0,2014-05-24,CHEVROLET
5289,General Motors LLC,Yes,No,0,2014-06-30,CHEVROLET
5290,General Motors LLC,Yes,No,0,2013-07-01,CHEVROLET
5291,General Motors LLC,Yes,No,0,2014-04-19,CHEVROLET
5292,General Motors LLC,Yes,No,0,2014-09-03,CHEVROLET
5293,General Motors LLC,Yes,No,0,2014-09-03,CHEVROLET
5294,General Motors LLC,Yes,No,0,2014-08-29,CHEVROLET
5295,General Motors LLC,Yes,No,0,2014-10-15,CHEVROLET
5296,General Motors LLC,Yes,No,2,2012-07-03,CHEVROLET
5297,General Motors LLC,Yes,No,0,2014-11-23,CHEVROLET
5298,General Motors LLC,No,Yes,0,2015-01-08,CHEVROLET
5299,General Motors LLC,Yes,No,4,2015-02-21,CHEVROLET
5300,General Motors LLC,Yes,No,1,2015-05-16,CHEVROLET
5301,General Motors LLC,Yes,No,0,2015-06-28,CHEVROLET
5302,General Motors LLC,Yes,No,0,2015-03-12,CHEVROLET
5303,General Motors LLC,Yes,No,0,2014-05-01,CHEVROLET
5304,General Motors LLC,Yes,No,0,2015-04-15,CHEVROLET
5305,General Motors LLC,Yes,No,0,2015-03-17,CHEVROLET
5306,General Motors LLC,Yes,No,0,2015-09-14,CHEVROLET
5307,General Motors LLC,Yes,No,1,2015-09-11,CHEVROLET
5308,General Motors LLC,Yes,No,0,2015-09-05,CHEVROLET
5309,General Motors LLC,Yes,No,0,2015-09-25,CHEVROLET
5310,General Motors LLC,No,Yes,0,2014-12-15,CHEVROLET
5311,General Motors LLC,Yes,No,0,2015-11-18,CHEVROLET
5312,General Motors LLC,Yes,No,1,2015-09-23,CHEVROLET
5313,General Motors LLC,Yes,No,0,2014-09-08,CHEVROLET
5314,General Motors LLC,Yes,No,0,2015-10-14,CHEVROLET
5315,General Motors LLC,Yes,No,1,2016-04-18,CHEVROLET
5316,General Motors LLC,Yes,No,0,2012-09-12,CHEVROLET
5317,General Motors LLC,No,Yes,0,2016-01-06,CHEVROLET
5318,General Motors LLC,Yes,No,0,2017-07-03,CHEVROLET
5319,General Motors LLC,Yes,No,1,2017-11-21,CHEVROLET
5320,General Motors LLC,Yes,No,0,2016-12-17,CHEVROLET
5321,General Motors LLC,Yes,No,1,2017-03-30,CHEVROLET
5322,General Motors LLC,Yes,No,1,2017-03-30,CHEVROLET
5323,General Motors LLC,Yes,No,4,2016-09-30,CHEVROLET
5324,General Motors LLC,No,Yes,0,2014-10-14,CHEVROLET
5325,General Motors LLC,No,Yes,0,2016-12-01,CHEVROLET
5326,General Motors LLC,Yes,No,0,2017-02-16,CHEVROLET
5327,General Motors LLC,Yes,No,0,2017-07-08,CHEVROLET
5328,General Motors LLC,No,Yes,0,2015-01-01,CHEVROLET
5329,General Motors LLC,Yes,No,0,2016-10-21,CHEVROLET
5330,General Motors LLC,No,Yes,0,2010-10-29,CHEVROLET
5331,General Motors LLC,Yes,No,0,2012-12-10,CHEVROLET
5332,General Motors LLC,Yes,No,1,2013-09-20,CHEVROLET
5333,General Motors LLC,Yes,No,0,2013-10-27,CHEVROLET
5334,General Motors LLC,Yes,No,0,2013-11-22,CHEVROLET
5335,General Motors LLC,Yes,No,0,2013-11-18,CHEVROLET
5336,General Motors LLC,No,Yes,0,2014-02-20,CHEVROLET
5337,General Motors LLC,Yes,No,0,2014-05-21,CHEVROLET
5338,General Motors LLC,Yes,No,1,2015-05-02,CHEVROLET
5339,General Motors LLC,No,Yes,0,2015-04-11,CHEVROLET
5340,General Motors LLC,Yes,No,1,2015-06-22,CHEVROLET
5341,General Motors LLC,Yes,No,0,2016-03-18,CHEVROLET
5342,General Motors LLC,No,Yes,0,2018-01-06,CHEVROLET
5343,General Motors LLC,Yes,No,1,2017-11-18,CHEVROLET
5344,General Motors LLC,Yes,No,0,2017-01-08,CHEVROLET
5345,General Motors LLC,Yes,No,0,2017-03-31,CHEVROLET
5346,General Motors LLC,Yes,No,2,2014-08-08,CHEVROLET
5347,General Motors LLC,Yes,No,1,2011-11-15,CHEVROLET
5348,General Motors LLC,Yes,No,2,2012-10-26,CHEVROLET
5349,General Motors LLC,Yes,No,0,2013-05-02,CHEVROLET
5350,General Motors LLC,No,Yes,0,2013-09-18,CHEVROLET
5351,General Motors LLC,Yes,No,2,2013-12-03,CHEVROLET
5352,General Motors LLC,Yes,No,1,2014-06-28,CHEVROLET
5353,General Motors LLC,Yes,No,1,2013-09-25,CHEVROLET
5354,General Motors LLC,Yes,No,1,2014-08-08,CHEVROLET
5355,General Motors LLC,Yes,No,0,2014-09-12,CHEVROLET
5356,General Motors LLC,Yes,No,0,2013-05-26,CHEVROLET
5357,General Motors LLC,Yes,No,1,2016-04-22,CHEVROLET
5358,General Motors LLC,No,Yes,0,2016-05-02,CHEVROLET
5359,General Motors LLC,Yes,No,0,2016-04-28,CHEVROLET
5360,General Motors LLC,Yes,No,2,2017-09-27,CHEVROLET
5361,General Motors LLC,No,Yes,0,2017-12-04,CHEVROLET
5362,General Motors LLC,No,Yes,0,2017-03-05,CHEVROLET
5363,General Motors LLC,Yes,No,0,2017-06-06,CHEVROLET
5364,General Motors LLC,No,Yes,0,2016-10-11,CHEVROLET
5365,General Motors LLC,Yes,No,1,2014-11-03,CHEVROLET
5366,General Motors LLC,Yes,No,1,2012-10-04,CHEVROLET
5367,General Motors LLC,Yes,No,1,2012-09-18,CHEVROLET
5368,General Motors LLC,Yes,No,1,2012-11-13,CHEVROLET
5369,General Motors LLC,Yes,No,1,2013-01-22,CHEVROLET
5370,General Motors LLC,Yes,No,0,2013-04-14,CHEVROLET
5371,General Motors LLC,Yes,No,3,2012-11-21,CHEVROLET
5372,General Motors LLC,Yes,No,1,2013-07-12,CHEVROLET
5373,General Motors LLC,Yes,No,0,2014-04-07,CHEVROLET
5374,General Motors LLC,Yes,No,0,2014-04-18,CHEVROLET
5375,General Motors LLC,Yes,No,2,2014-06-21,CHEVROLET
5376,General Motors LLC,Yes,No,0,2014-07-10,CHEVROLET
5377,General Motors LLC,Yes,No,0,2014-08-05,CHEVROLET
5378,General Motors LLC,Yes,No,0,2014-07-01,CHEVROLET
5379,General Motors LLC,Yes,No,0,2014-09-23,CHEVROLET
5380,General Motors LLC,Yes,No,0,2014-10-11,CHEVROLET
5381,General Motors LLC,Yes,No,1,2014-10-11,CHEVROLET
5382,General Motors LLC,Yes,No,1,2014-12-03,CHEVROLET
5383,General Motors LLC,No,Yes,0,2012-07-05,CHEVROLET
5384,General Motors LLC,Yes,No,1,2014-06-07,CHEVROLET
5385,General Motors LLC,Yes,No,2,2014-06-16,CHEVROLET
5386,General Motors LLC,Yes,No,1,2015-03-29,CHEVROLET
5387,General Motors LLC,Yes,No,0,2015-04-03,CHEVROLET
5388,General Motors LLC,Yes,No,0,2015-05-04,CHEVROLET
5389,General Motors LLC,Yes,No,2,2015-06-19,CHEVROLET
5390,General Motors LLC,No,Yes,0,2014-12-30,CHEVROLET
5391,General Motors LLC,Yes,No,0,2015-06-15,CHEVROLET
5392,General Motors LLC,Yes,No,2,2015-06-06,CHEVROLET
5393,General Motors LLC,Yes,No,1,2013-11-22,CHEVROLET
5394,General Motors LLC,No,Yes,0,2016-04-15,CHEVROLET
5395,General Motors LLC,Yes,No,0,2016-07-14,CHEVROLET
5396,General Motors LLC,Yes,No,0,2016-07-12,CHEVROLET
5397,General Motors LLC,Yes,No,1,2017-09-24,CHEVROLET
5398,General Motors LLC,Yes,No,1,2017-12-09,CHEVROLET
5399,General Motors LLC,Yes,No,0,2018-02-01,CHEVROLET
5400,General Motors LLC,No,Yes,0,2017-11-01,CHEVROLET
5401,General Motors LLC,No,Yes,0,2016-11-30,CHEVROLET
5402,General Motors LLC,Yes,No,1,2016-12-14,CHEVROLET
5403,General Motors LLC,Yes,No,0,2017-01-03,CHEVROLET
5404,General Motors LLC,Yes,No,0,2017-04-21,CHEVROLET
5405,General Motors LLC,Yes,No,0,2017-04-13,CHEVROLET
5406,General Motors LLC,Yes,No,2,2017-05-10,CHEVROLET
5407,General Motors LLC,Yes,No,1,2017-06-14,CHEVROLET
5408,General Motors LLC,Yes,No,0,2014-03-14,CHEVROLET
5409,General Motors LLC,Yes,No,1,2013-01-03,CHEVROLET
5410,General Motors LLC,No,Yes,0,2013-04-11,CHEVROLET
5411,General Motors LLC,Yes,No,1,2013-07-27,CHEVROLET
5412,General Motors LLC,Yes,No,0,2013-08-02,CHEVROLET
5413,General Motors LLC,Yes,No,1,2014-05-13,CHEVROLET
5414,General Motors LLC,Yes,No,0,2014-05-30,CHEVROLET
5415,General Motors LLC,Yes,No,1,2014-06-22,CHEVROLET
5416,General Motors LLC,No,Yes,0,2014-12-17,CHEVROLET
5417,General Motors LLC,No,Yes,0,2014-10-14,CHEVROLET
5418,General Motors LLC,No,Yes,0,2015-08-31,CHEVROLET
5419,General Motors LLC,Yes,No,1,2015-07-22,CHEVROLET
5420,General Motors LLC,Yes,No,1,2015-09-30,CHEVROLET
5421,General Motors LLC,No,Yes,0,2016-04-30,CHEVROLET
5422,General Motors LLC,Yes,No,0,2011-12-01,CHEVROLET
5423,General Motors LLC,No,Yes,1,2012-01-28,CHEVROLET
5424,General Motors LLC,Yes,No,1,2012-06-24,CHEVROLET
5425,General Motors LLC,No,Yes,0,2013-04-15,CHEVROLET
5426,General Motors LLC,Yes,No,0,2012-07-26,CHEVROLET
5427,General Motors LLC,Yes,No,0,2013-10-19,CHEVROLET
5428,General Motors LLC,Yes,No,1,2014-02-21,CHEVROLET
5429,General Motors LLC,Yes,No,1,2014-03-10,CHEVROLET
5430,General Motors LLC,Yes,No,0,2014-03-05,CHEVROLET
5431,General Motors LLC,Yes,No,0,2014-03-16,CHEVROLET
5432,General Motors LLC,Yes,No,0,2014-05-28,CHEVROLET
5433,General Motors LLC,Yes,No,1,2014-08-06,CHEVROLET
5434,General Motors LLC,Yes,No,1,2014-05-10,CHEVROLET
5435,General Motors LLC,Yes,No,0,2015-03-19,CHEVROLET
5436,General Motors LLC,Yes,No,0,2015-11-23,CHEVROLET
5437,General Motors LLC,Yes,No,0,2016-01-07,CHEVROLET
5438,General Motors LLC,Yes,No,0,2016-05-13,CHEVROLET
5439,General Motors LLC,No,Yes,0,2016-07-24,CHEVROLET
5440,General Motors LLC,Yes,No,0,2017-09-28,CHEVROLET
5441,General Motors LLC,Yes,No,0,2018-01-31,CHEVROLET
5442,General Motors LLC,No,Yes,0,2017-12-08,CHEVROLET
5443,General Motors LLC,Yes,No,1,2017-02-10,CHEVROLET
5444,General Motors LLC,Yes,No,1,2016-01-31,CHEVROLET
5445,General Motors LLC,Yes,No,1,2017-01-13,CHEVROLET
5446,General Motors LLC,Yes,No,0,2017-01-08,CHEVROLET
5447,General Motors LLC,Yes,No,2,2015-09-09,CHEVROLET
5448,General Motors LLC,No,Yes,0,2012-05-26,CHEVROLET
5449,General Motors LLC,Yes,No,0,2015-07-16,CHEVROLET
5450,General Motors LLC,Yes,No,0,2012-02-14,CHEVROLET
5451,General Motors LLC,Yes,No,0,2013-09-30,CHEVROLET
5452,General Motors LLC,Yes,No,0,2014-08-09,CHEVROLET
5453,General Motors LLC,No,Yes,0,2015-11-12,CHEVROLET
5454,General Motors LLC,Yes,No,0,2013-02-18,CHEVROLET
5455,General Motors LLC,Yes,No,2,2014-01-30,CHEVROLET
5456,General Motors LLC,Yes,No,0,2015-05-13,CHEVROLET
5457,General Motors LLC,Yes,No,0,2015-08-12,CHEVROLET
5458,General Motors LLC,Yes,No,1,2016-06-30,CHEVROLET
5459,General Motors LLC,Yes,No,2,2012-01-30,CHEVROLET
5460,General Motors LLC,No,Yes,0,2013-09-28,CHEVROLET
5461,General Motors LLC,Yes,No,0,2014-05-01,CHEVROLET
5462,General Motors LLC,Yes,No,1,2015-10-06,CHEVROLET
5463,General Motors LLC,Yes,No,1,2016-03-20,CHEVROLET
5464,Chrysler (FCA US LLC),Yes,No,1,2015-04-22,CHRYSLER
5465,Chrysler (FCA US LLC),Yes,No,1,2012-09-06,CHRYSLER
5466,Chrysler (FCA US LLC),Yes,No,1,2012-09-06,CHRYSLER
5467,Chrysler (FCA US LLC),Yes,No,1,2012-10-09,CHRYSLER
5468,Chrysler (FCA US LLC),Yes,No,1,2013-01-15,CHRYSLER
5469,Chrysler (FCA US LLC),Yes,No,2,2012-08-19,CHRYSLER
5470,Chrysler (FCA US LLC),Yes,No,1,2013-03-25,CHRYSLER
5471,Chrysler (FCA US LLC),Yes,No,0,2013-11-11,CHRYSLER
5472,Chrysler (FCA US LLC),Yes,No,1,2014-04-25,CHRYSLER
5473,Chrysler (FCA US LLC),Yes,No,0,2013-08-17,CHRYSLER
5474,Chrysler (FCA US LLC),Yes,No,1,2016-02-09,CHRYSLER
5475,Chrysler (FCA US LLC),No,Yes,0,2016-02-01,CHRYSLER
5476,Chrysler (FCA US LLC),Yes,No,0,2016-02-15,CHRYSLER
5477,Chrysler (FCA US LLC),No,Yes,0,2015-11-08,CHRYSLER
5478,Chrysler (FCA US LLC),Yes,No,1,2017-10-01,CHRYSLER
5479,Chrysler (FCA US LLC),Yes,No,1,2017-09-29,CHRYSLER
5480,Chrysler (FCA US LLC),Yes,No,0,2018-01-09,CHRYSLER
5481,Chrysler (FCA US LLC),No,Yes,0,2017-01-10,CHRYSLER
5482,Chrysler (FCA US LLC),Yes,No,0,2014-04-19,CHRYSLER
5483,Chrysler (FCA US LLC),Yes,No,1,2016-12-02,CHRYSLER
5484,Chrysler (FCA US LLC),Yes,No,0,2016-05-26,CHRYSLER
5485,Chrysler (FCA US LLC),Yes,No,0,2016-09-27,CHRYSLER
5486,Chrysler (FCA US LLC),Yes,No,0,2017-04-25,CHRYSLER
5487,Chrysler (FCA US LLC),Yes,No,1,2015-01-07,CHRYSLER
5488,Chrysler (FCA US LLC),Yes,No,2,2016-11-07,CHRYSLER
5489,Chrysler (FCA US LLC),Yes,No,2,2013-12-31,CHRYSLER
5490,Chrysler (FCA US LLC),Yes,No,1,2016-10-27,CHRYSLER
5491,Chrysler (FCA US LLC),Yes,No,1,2016-10-01,CHRYSLER
5492,Chrysler (FCA US LLC),Yes,No,0,2016-08-14,CHRYSLER
5493,Chrysler (FCA US LLC),No,Yes,0,2016-12-26,CHRYSLER
5494,Chrysler (FCA US LLC),No,Yes,0,2014-02-23,CHRYSLER
5495,Chrysler (FCA US LLC),No,Yes,0,2014-08-14,CHRYSLER
5496,Chrysler (FCA US LLC),No,Yes,0,2015-01-11,CHRYSLER
5497,Chrysler (FCA US LLC),Yes,No,1,2015-04-07,CHRYSLER
5498,Chrysler (FCA US LLC),Yes,No,1,2015-04-07,CHRYSLER
5499,Chrysler (FCA US LLC),Yes,No,0,2015-02-24,CHRYSLER
5500,Chrysler (FCA US LLC),No,Yes,0,2015-05-09,CHRYSLER
5501,Chrysler (FCA US LLC),Yes,No,0,2015-05-15,CHRYSLER
5502,Chrysler (FCA US LLC),No,Yes,0,2015-06-05,CHRYSLER
5503,Chrysler (FCA US LLC),No,Yes,0,2012-10-01,CHRYSLER
5504,Chrysler (FCA US LLC),No,Yes,0,2015-10-31,CHRYSLER
5505,Chrysler (FCA US LLC),No,Yes,0,2016-02-05,CHRYSLER
5506,Chrysler (FCA US LLC),Yes,No,1,2016-04-17,CHRYSLER
5507,Chrysler (FCA US LLC),No,Yes,0,2016-03-31,CHRYSLER
5508,Chrysler (FCA US LLC),Yes,No,1,2015-05-27,CHRYSLER
5509,Chrysler (FCA US LLC),No,Yes,0,2016-06-09,CHRYSLER
5510,Chrysler (FCA US LLC),No,Yes,0,2016-07-21,CHRYSLER
5511,Chrysler (FCA US LLC),Yes,No,0,2016-08-10,CHRYSLER
5512,Chrysler (FCA US LLC),Yes,No,0,2016-07-04,CHRYSLER
5513,Chrysler (FCA US LLC),No,Yes,0,2017-09-17,CHRYSLER
5514,Chrysler (FCA US LLC),Yes,No,0,2017-09-25,CHRYSLER
5515,Chrysler (FCA US LLC),No,Yes,0,2017-06-27,CHRYSLER
5516,Chrysler (FCA US LLC),Yes,No,0,2016-01-20,CHRYSLER
5517,Chrysler (FCA US LLC),No,Yes,0,2017-09-28,CHRYSLER
5518,Chrysler (FCA US LLC),No,Yes,0,2018-01-28,CHRYSLER
5519,Chrysler (FCA US LLC),No,Yes,0,2017-10-24,CHRYSLER
5520,Chrysler (FCA US LLC),Yes,No,1,2017-08-19,CHRYSLER
5521,Chrysler (FCA US LLC),No,Yes,0,2017-11-30,CHRYSLER
5522,Chrysler (FCA US LLC),No,Yes,0,2017-01-16,CHRYSLER
5523,Chrysler (FCA US LLC),No,Yes,0,2017-04-01,CHRYSLER
5524,Chrysler (FCA US LLC),Yes,Yes,0,2017-04-02,CHRYSLER
5525,Chrysler (FCA US LLC),Yes,No,0,2014-02-25,CHRYSLER
5526,Chrysler (FCA US LLC),Yes,No,0,2016-09-02,CHRYSLER
5527,Chrysler (FCA US LLC),No,Yes,0,2016-09-08,CHRYSLER
5528,Chrysler (FCA US LLC),No,Yes,0,2016-09-01,CHRYSLER
5529,Chrysler (FCA US LLC),Yes,No,0,2016-08-11,CHRYSLER
5530,Chrysler (FCA US LLC),Yes,No,0,2016-09-19,CHRYSLER
5531,Chrysler (FCA US LLC),Yes,No,0,2016-08-20,CHRYSLER
5532,Chrysler (FCA US LLC),No,Yes,0,2017-08-17,CHRYSLER
5533,Chrysler (FCA US LLC),Yes,No,0,2016-05-26,CHRYSLER
5534,Chrysler (FCA US LLC),No,Yes,0,2017-07-12,CHRYSLER
5535,Chrysler (FCA US LLC),No,Yes,0,2017-05-24,CHRYSLER
5536,Chrysler (FCA US LLC),No,Yes,0,2017-08-11,CHRYSLER
5537,Chrysler (FCA US LLC),No,Yes,0,2016-07-30,CHRYSLER
5538,Chrysler (FCA US LLC),No,Yes,0,2016-11-11,CHRYSLER
5539,Chrysler (FCA US LLC),No,Yes,0,2017-07-15,CHRYSLER
5540,Chrysler (FCA US LLC),Yes,No,0,2012-12-27,DODGE
5541,Chrysler (FCA US LLC),Yes,No,1,2013-08-09,DODGE
5542,Chrysler (FCA US LLC),Yes,No,2,2013-12-13,DODGE
5543,Chrysler (FCA US LLC),Yes,No,1,2014-04-01,DODGE
5544,Chrysler (FCA US LLC),Yes,No,1,2014-04-06,DODGE
5545,Chrysler (FCA US LLC),Yes,No,0,2014-03-20,DODGE
5546,Chrysler (FCA US LLC),No,Yes,0,2014-06-18,DODGE
5547,Chrysler (FCA US LLC),Yes,No,1,2014-07-03,DODGE
5548,Chrysler (FCA US LLC),Yes,No,1,2014-12-31,DODGE
5549,Chrysler (FCA US LLC),Yes,No,2,2015-01-03,DODGE
5550,Chrysler (FCA US LLC),Yes,No,2,2015-01-18,DODGE
5551,Chrysler (FCA US LLC),Yes,Yes,1,2015-02-05,DODGE
5552,Chrysler (FCA US LLC),Yes,Yes,1,2014-03-13,DODGE
